                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Instructions                       |   27402727 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845 |   21151845
  IPC                                |       1.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923
  Idle time (ns)                     |      73708 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923 |   10575923
  Idle time (%)                      |       0.7% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5187045 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     641496 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |     11.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
